material,label,bulk_modulus
Y2MnCdO6,random,1.1238107362
La2VHfO6,random,1.21023198002
Th2TiHfO6,random,1.29420814992
Mg2CrTaO6,random,1.29727359567
Mg2MnCuO6,random,1.17655610933
Ce2GaSbO6,random,0.772406752243
Be2AlTiO6,random,1.18168909178
Be2TaPbO6,random,1.10914878765
Pa2CrAuO6,random,1.19872709791
Th2PdAgO6,random,1.17993666123
Ce2AgCdO6,random,0.987861311284
Na2CuCdO6,random,0.596769254812
Be2ReAuO6,random,1.18138126583
Be2GeAuO6,random,1.12939398532
Pr2AlTlO6,random,1.03321732036
Sm2CdPbO6,random,0.851125076939
Ce2TcBiO6,random,0.88683425628
K2NiRhO6,random,0.903139951824
Pa2OsBiO6,random,1.07151246467
Rb2SnAuO6,random,0.752623812641
Pa2AgHgO6,random,0.999485389907
La2ZrNbO6,random,1.18413985004
Ce2TcPtO6,random,1.20244772613
Ba2VOsO6,random,1.2439849996
Sc2MoSnO6,random,1.18270060721
Y2NiAgO6,random,1.18094777282
Mg2VRhO6,random,1.29510880036
Pr2PdHfO6,random,1.08611463978
Nd2NiNbO6,random,1.21900865788
K2MoIrO6,random,1.28247946797
Be2PdBiO6,random,0.961512403774
Sm2AgPtO6,random,1.07741084163
Pa2CdTlO6,random,0.885265622108
Mg2AuHgO6,random,0.903097814689
K2TaWO6,random,1.30770224206
Li2RuHfO6,random,1.09345158987
La2SnTaO6,random,1.05296805701
Y2VIrO6,random,1.35622530581
K2CrBiO6,random,0.872361398844
Li2NbCdO6,random,0.773265114121
Ba2NiRuO6,random,1.0858296293
Y2IrPbO6,random,0.918203749036
Nd2NbHfO6,random,1.19262041784
Mg2TcIrO6,random,1.33107487538
Mg2FePtO6,random,1.24130303429
Cs2AgTaO6,random,0.850341867925
Ca2MnSbO6,random,1.11615896071
Pm2VMoO6,random,1.35944698075
Rb2RhOsO6,random,1.18235543359
Sm2RhSnO6,random,1.1278236157
Y2TiCuO6,high utility,1.23938024425
Pr2MnCuO6,high utility,1.46548357688
Sm2CrFeO6,high utility,1.43247221897
La2VCuO6,high utility,1.2357635308
Pa2TiCuO6,high utility,1.34499995377
Nd2VMnO6,high utility,1.42970544515
Ce2VNiO6,high utility,1.31531587254
Nd2CoNbO6,high utility,1.25794709437
Sm2TiCuO6,high utility,1.21483723956
Pr2FeNbO6,high utility,1.29906931608
Nd2NiNbO6,high utility,1.21900865788
La2VFeO6,high utility,1.36365943691
Pm2CrMoO6,high utility,1.38139939374
Pr2VMoO6,high utility,1.36306932235
Pm2CrFeO6,high utility,1.44412242371
Nd2MnMoO6,high utility,1.3906089072
Nd2VCrO6,high utility,1.41380277247
La2CrMnO6,high utility,1.40190883225
Pa2CrFeO6,high utility,1.62523130419
Pr2VNiO6,high utility,1.32207332871
La2MnCoO6,high utility,1.35100700106
Pa2VCrO6,high utility,1.59262137455
La2CoNbO6,high utility,1.23243000394
La2VMoO6,high utility,1.33808853551
Nd2VAgO6,high utility,1.10836120045
Pm2CoNbO6,high utility,1.26374633595
Ce2CoNbO6,high utility,1.25499643061
Sc2CoNbO6,high utility,1.27450421542
La2CrAgO6,high utility,1.10922577542
Sm2VMoO6,high utility,1.35363245238
Sc2MnNiO6,high utility,1.37822480214
Nd2CrNiO6,high utility,1.35098922933
Y2CrMnO6,high utility,1.44641717065
Y2MnNbO6,high utility,1.34924561313
Nd2TiCuO6,high utility,1.22502182852
Pm2MnCuO6,high utility,1.31216843618
Sm2CrCoO6,high utility,1.3938446942
PaVO3,high utility,1.55370334145
Sm2FeNbO6,high utility,1.31598679999
Pa2VNiO6,high utility,1.47733334769
Sm2MnNiO6,high utility,1.35057722758
Sm2CrCuO6,high utility,1.28538065043
Sm2VCoO6,high utility,1.36507456699
Sc2MnCuO6,high utility,1.29763145979
Nd2VCuO6,high utility,1.26974473007
Sc2VNiO6,high utility,1.33845729226
Sm2CrNiO6,high utility,1.33495597143
Sm2CrAgO6,high utility,1.11967488983
Nd2CrNbO6,high utility,1.32407480257
PaMnO3,high utility,1.66904800322
Nd2AlOsO6,max,1.36639073992
Sc2MoTcO6,max,1.38225317591
Pr2GeOsO6,max,1.13009555386
La2FeCuO6,max,1.26471091498
Mg2HfPtO6,max,1.18687166153
Ce2MoRuO6,max,1.35590222752
Mg2TcBiO6,max,0.611971265746
Mg2NiRhO6,max,1.18034499688
Y2GeTaO6,max,0.751412267743
Mg2TaWO6,max,1.31498600398
Ce2CrAuO6,max,1.09921549683
Ce2CrRhO6,max,1.34697498237
Y2MnGeO6,max,1.35343973536
La2PdBiO6,max,0.919203088686
Be2FeAgO6,max,1.03509273567
Pm2IrBiO6,max,0.905166245713
La2TiMnO6,max,1.34071521961
Pa2SnReO6,max,1.28225431005
Mg2VGeO6,max,1.26717189368
Pr2FePdO6,max,1.26168864252
Be2WIrO6,max,1.44545539489
Pm2VIrO6,max,1.35923715929
Y2CuRhO6,max,1.25165532462
Th2TiAgO6,max,1.16246503088
Pr2VNiO6,max,1.32207332871
Sc2AgWO6,max,1.10454725935
La2HfWO6,max,1.27196156595
Y2TiSnO6,max,1.15590912098
Sm2CoTcO6,max,1.32490561916
Sc2TiRuO6,max,1.35229535612
Ce2CoRhO6,max,1.34764321774
Y2TiCoO6,max,1.32947160327
La2CrFeO6,max,1.37593695291
Th2NbRuO6,max,1.42923764936
Th2RePtO6,max,1.26389618007
Ce2GaIrO6,max,1.24405594883
Mg2IrPbO6,max,1.04464989718
Mg2VPdO6,max,1.13470879552
Pa2AlIrO6,max,1.44787015016
Sc2TiMnO6,max,1.38540160958
Y2AgTaO6,max,1.02811414791
Pr2MoPtO6,max,1.15116333745
Th2AlOsO6,max,1.48309552035
Sm2CuTaO6,max,1.21031517271
Pa2CoOsO6,max,1.51984261427
Y2AgPtO6,max,1.1437736617
Y2RuSnO6,max,1.2054877336
Nd2PdSbO6,max,0.992721632888
Th2MnPbO6,max,1.07015211989
Sm2NiOsO6,max,1.30212618052
